order	table	laws_satisfied	variety	class_pairs_covered	law_pairs_covered	satisfied
3	012120201	150	(3)	462	126000	1,2,3,4,56,58,61,65,66,88,91,93,98,100,107,108,127,129,134,136,139,164,166,169,171,174,178,180,187,188,204,207,208,223,240,244,246,252,253,254,255,256,257,258,320,323,327,328,331,336,343,348,351,352,373,375,383,384,386,388,398,400,407,408,430,432,433,434,441,443,453,455,457,458,475,477,500,502,521,522,530,533,553,558,573,574,586,588,609,611,625,626,643,645,653,654,656,658,668,670,677,678,698,701,705,706,709,714,721,726,729,730,739,740,741,742,792,814,816,835,836,838,845,846,848,850,860,862,869,870,877,883,885,895,897,899,900,914,921,926,929,930,942,957,958,964,967,968,977,987
3	012201120	150	(8)	462	126000	2,6,8,33,34,56,77,78,99,106,108,111,113,123,125,130,132,140,144,146,156,158,161,163,176,183,188,190,193,201,226,228,231,240,249,250,251,252,260,262,281,282,289,291,313,318,333,334,344,347,363,365,373,374,379,380,393,395,406,408,416,418,431,432,437,438,446,448,457,459,469,474,483,484,489,490,499,504,512,515,531,533,547,548,562,564,577,582,591,592,597,598,607,612,620,623,632,634,647,648,653,654,662,664,673,675,733,734,735,736,737,738,742,751,752,757,758,767,772,780,783,794,809,810,820,823,837,841,842,855,857,868,870,877,889,891,902,904,911,924,926,942,950,953,962,978,987,988,989,990
3	021102210	150	(15)	462	126000	4,12,15,18,21,29,34,43,44,53,83,85,96,98,100,103,105,116,118,131,132,140,150,152,165,166,173,174,175,176,204,213,214,226,234,237,239,250,259,264,267,268,272,275,297,298,301,306,307,308,340,342,345,347,368,370,377,378,379,381,407,408,410,412,422,424,431,432,433,435,461,462,464,466,493,494,495,496,497,498,529,534,537,538,542,545,567,568,571,576,579,580,608,611,613,618,639,641,643,644,652,654,673,674,681,683,689,690,715,717,722,724,739,770,772,775,777,794,797,798,802,805,827,828,831,836,837,844,846,865,866,873,875,878,903,904,906,908,911,912,913,914,940,944,946,964,977,983,985,990
3	021210102	324	(24)	546	215784	1,5,6,11,12,17,18,23,24,29,30,35,36,41,42,47,48,53,57,58,63,64,69,70,75,76,81,82,87,88,93,94,99,103,104,109,110,115,116,121,122,127,128,133,134,139,143,144,149,150,155,156,161,162,167,168,173,177,178,183,184,189,190,195,196,201,205,206,211,212,217,218,223,227,228,233,234,239,243,244,249,256,258,262,264,268,270,274,276,280,282,286,288,292,294,298,300,304,306,310,312,316,318,322,324,328,330,334,336,340,342,346,348,352,354,358,360,364,366,370,372,376,378,382,384,388,390,394,396,400,402,406,408,412,414,418,420,424,426,430,432,436,438,442,444,448,450,454,456,460,462,466,468,472,474,478,480,484,486,490,492,496,498,502,504,508,510,514,516,520,522,526,528,532,534,538,540,544,546,550,552,556,558,562,564,568,570,574,576,580,582,586,588,592,594,598,600,604,606,610,612,616,618,622,624,628,630,634,636,640,642,646,648,652,654,658,660,664,666,670,672,676,678,682,684,688,690,694,696,700,702,706,708,712,714,718,720,724,726,730,732,736,738,740,743,745,749,751,755,757,761,763,767,769,773,775,779,781,785,787,792,795,797,801,803,807,809,813,815,819,821,825,827,831,833,838,841,843,847,849,853,855,859,861,865,867,871,873,878,881,883,887,889,893,895,899,901,905,907,912,915,917,921,923,927,929,933,935,940,943,945,949,951,955,957,962,965,967,971,973,978,981,983,988
4	0123230132101032	60	(14)	246	55800	2,12,14,53,102,142,150,153,173,202,234,239,240,241,242,266,268,305,306,340,342,373,378,411,412,423,424,457,462,496,498,533,534,566,568,580,618,649,650,651,652,653,654,690,724,775,791,827,829,840,873,874,877,878,879,880,912,940,980,987
4	0231132020133102	60	(101)	246	55800	6,99,100,101,102,142,144,147,174,201,224,228,230,242,249,262,282,318,334,403,404,405,406,407,408,417,418,433,438,473,474,488,490,562,564,590,592,611,612,643,648,663,664,736,738,739,757,759,809,840,855,856,880,939,962,977,978,979,980,988
4	0231201331021320	60	(60)	246	55800	1,54,58,60,102,139,140,141,142,178,223,242,244,247,250,256,258,326,328,347,348,379,384,399,400,427,428,429,430,431,432,502,522,558,574,586,588,657,658,673,678,713,714,728,730,740,792,837,838,839,840,880,895,896,911,929,931,957,961,980
4	0231310213202013	162	(10)	442	134136	4,5,10,11,16,17,22,23,28,29,34,35,40,41,46,47,52,56,57,62,63,68,69,74,75,80,81,86,87,92,93,98,102,103,108,109,114,115,120,121,126,127,132,133,138,142,143,148,149,154,155,160,161,166,167,172,176,177,182,183,188,189,194,195,200,204,205,210,211,216,217,222,226,227,232,233,238,242,243,248,252,742,743,748,749,754,755,760,761,766,767,772,773,778,779,784,785,790,794,795,800,801,806,807,812,813,818,819,824,825,830,831,836,840,841,846,847,852,853,858,859,864,865,870,871,876,880,881,886,887,892,893,898,899,904,905,910,914,915,920,921,926,927,932,933,938,942,943,948,949,954,955,960,964,965,970,971,976,980,981,986,990
5	0123423140304214201314302	19	(2, 54)	210	18449	2,54,103,224,240,373,403,427,457,473,533,653,654,713,865,877,939,961,987
5	0214331402432102403110324	82	(20)	246	74456	12,20,31,53,54,55,56,108,119,150,173,186,188,197,199,224,234,236,239,252,263,268,296,306,337,338,339,340,341,342,369,378,403,412,424,427,462,465,471,473,496,498,505,506,534,536,568,575,578,580,601,603,617,618,652,654,685,690,710,713,723,724,742,762,765,775,776,799,827,832,870,873,878,912,925,926,939,940,941,942,961,984
